,Standard Deviation,Return,Portfolio Holdings
33,0.16140332312495817,1.7023695173012312,"WBC, WES, TCL, WOW, RIO, STO, NCM, REA, RMD, SUN, IGO, AMC, SOL, WHC, SGP, SEK, YAL, CAR, HVN, BEN, BOQ, AWC, BKW, EVT, IFL, MMS, ERA, SIG, PRN, JHG"
34,0.1634856566775533,2.1599857246732914,"NAB, WBC, RIO, GMG, REA, RMD, JHX, SUN, RHC, QAN, SOL, REH, SPK, OZL, MGR, SEK, AZJ, SVW, CWY, JBH, AMP, FBU, BWP, CSR, IFL, KAR, NWS, ERA, SWM, SIG"
35,0.16927198643573893,1.827359656322666,"NAB, FMG, TLS, RIO, BXB, REA, MIN, QAN, REH, SPK, SGP, WOR, AZJ, LLC, ALQ, BEN, CGF, MTS, PMV, EVN, AMP, ILU, BKW, BLD, PDN, TAH, IRE, CMW, SFR, AGG"
36,0.1660894950060671,2.0884127189234762,"NAB, MQG, WOW, SHL, MIN, SUN, COH, APA, AMC, QAN, FPH, SOL, WOR, YAL, SVW, CWY, NHC, ALQ, AGL, MTS, BPT, ZIM, PDN, SGM, IFL, IRE, SFR, RRL, ABC, JHG"
37,0.15341457645500609,2.3512958467267695,"ANZ, MQG, RIO, BXB, REA, JHX, MIN, RHC, COH, IAG, APA, QAN, SPK, DXS, SGP, SEK, CWY, CGF, EVN, ANN, BKW, ZIM, PRU, BWP, ABP, EVT, HLS, MMS, ERA, AGG"
38,0.17275746493183491,1.5104708066510684,"NAB, ANZ, WOW, NCM, SUN, RHC, IGO, FPH, SPK, MGR, YAL, SVW, LLC, ALQ, HVN, BEN, PMV, AMP, BPT, BKW, FLT, ZIM, ABP, CSR, SKC, IRE, KAR, NWS, PRN, AGG"
39,0.21167430882878352,0.8859913797784162,"WBC, WES, QBE, CPU, JHX, IPL, ALD, NHC, JBH, AMP, FBU, BLD, DOW, PRU, PDN, SGM, GOZ, ABP, EVT, SUL, IFL, CMW, SFR, MND, RRL, NWH, SWM, SIG, PRN, MYR"
40,0.1902643775259414,1.3297716330122675,"WBC, ANZ, FMG, TCL, SUN, IAG, QAN, SOL, WHC, VCX, MGR, IPL, SVW, ALQ, BOQ, AWC, MTS, PMV, ILU, BWP, PDN, NUF, HLS, SFR, RRL, NWH, NWS, ERA, SWM, JHG"
41,0.15868825330800587,1.6186846964022865,"CSL, NAB, ANZ, MQG, WES, TLS, NCM, SUN, IAG, APA, AMC, SPK, VCX, MGR, ALD, ORI, LLC, NHC, JBH, PMV, AMP, BPT, BWP, CSR, IRE, SFR, IVC, NWH, ERA, SIG"
42,0.1902917697915177,2.1948476481603603,"CSL, ANZ, MQG, ALL, REA, SHL, SOL, ORG, SPK, VCX, SGP, GPT, WOR, IPL, SVW, CWY, ALQ, HVN, AWC, BPT, FBU, FLT, ZIM, CSR, SUL, IFL, IRE, PPT, KAR, JHG"
43,0.16413266074705862,1.3610884721530527,"WBC, TCL, RIO, NCM, RHC, ASX, AMC, FPH, TWE, SPK, VCX, DXS, SGP, OZL, IPL, CAR, ORI, NHC, AWC, DOW, SGR, GOZ, EVT, IFL, SFR, NWS, ABC, MMS, ERA, MSB"
44,0.19075816454490543,1.3977349137348627,"ANZ, NCM, REA, RHC, ASX, IAG, APA, FPH, VCX, OZL, LYC, SEK, ORI, CWY, CGF, EVN, ANN, ZIM, PDN, SGM, NUF, MND, KAR, RRL, ABC, PTM, MMS, MSB, PRN, AGG"
45,0.18953845323329496,1.3049578108669424,"WBC, WES, WOW, GMG, NCM, MIN, RHC, VCX, OZL, GPT, BSL, LYC, YAL, ORI, BOQ, QUB, AWC, MTS, DOW, SGR, CQR, SUL, NUF, SKC, PPT, MND, RRL, NWH, NWS, SWM"
46,0.18207100527876682,1.1886625055866311,"WBC, MQG, IAG, APA, SPK, OZL, LYC, WOR, YAL, SVW, ALQ, BEN, BOQ, JBH, AWC, EVN, AMP, FBU, BKW, FLT, CNU, BWP, NUF, CMW, MND, KAR, ABC, SWM, SIG, MYR"
47,0.17916674262821616,2.4266136844492348,"FMG, WOW, REA, RMD, MIN, SUN, COH, SOL, WHC, GPT, BSL, SEK, IPL, CWY, ALQ, HVN, BEN, BOQ, AGL, BPT, BLD, DOW, ZIM, BWP, CQR, CSR, CMW, RRL, MSB, MYR"
